tweets_record_table.userid,tweets_record_table.lang,tweets_record_table.friendscount,tweets_record_table.location,tweets_record_table.followerscount,tweets_record_table.deviceused,tweets_record_table.retweetcount,tweets_record_table.issensitive,tweets_record_table.isretweet,tweets_record_table.isretweeted,tweets_record_table.postdate,tweets_record_table.text
1132467088604291072,und,71,null,1,Twitter for Android,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,https://t.co/uN5ipqLp69
1292869098972614656,en,2,null,0,Twitter Web App,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,"This 'church' is a familiar site to anyone coming out of Holborn Tube Station, but only the facade of Holy Trinity, Kingsway, built 1909-11, remains. Behind are office buildings constructed after the rest of the church was closed and demolished in the 1980s. #lostchurches https://t.co/SJcK4DBjIi"
1131220596090712065,und,50,null,9,Twitter Web App,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,https://t.co/mHWNyn1b2U
1264141421273067521,en,71,null,380,Twitter for Android,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,"ask me if im alright, do you want me to lie?"
766852616668192768,en,174,Greenwich Village,165,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,"RT @ETheFriend: I trust Trump.
The rest of them...not a chance.
-
When I tell you both sides are corrupt, I mean it."
956247026215374855,pt,256,"Coronel Fabriciano, Brasil",144,Twitter for iPhone,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,Maior nostalgia sentar lá com elas
1276425366106767361,es,435,null,391,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,"RT @LiamPArgentina: Tremendo, Liam decide hacer el show el día de su cumple queriendo pasarlo con sus fans, EL AMOR QUE ES DE PERSONA. Amar…"
984602149,en,241,null,136,Twitter for iPad,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @DanRather: Who needs Russia when you are openly attacking the United States Postal Service to suppress the vote and undermine American…
1200233581181853696,es,110,null,171,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @daniellavargs: no entiendo como antes me bañaba y estaba lista para existir antes de las 7am
1286706904278814720,ko,121,1406호//플텍구독블블,238,Twitter for Android,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,"@_tuna_river 와;;;
엄격하다..."
4874163297,fr,64,ahl as-sunnā wa al jama’a,52,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @lesourirem: @awa_df @neigeah_ Il fait semblant de pas comprendre ..
222103493,eu,1366,null,10210,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,"RT @LincolnMoses_: “Run Tate, tondoka” https://t.co/Xk23QUAyAN"
1284664824908124160,en,38,"𝘑𝘢𝘤𝘬𝘴𝘰𝘯, 𝘞𝘠",38,Twitter for iPhone,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,@ofherlaststop @survivorsburden // perhaps i’d like to be beaten with a golf club after seeing this
1275660767417810947,en,67,null,17,Twitter for Android,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,"RT @PreetBharara: In radical move, Joe Biden has chosen not to use the spotlight to rant about toilets and showers"
369475374,th,243,null,82,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @lilpwnjh: เราเองก้เคยบ้ง ตอนนั้นก้ยังร้องไห้เป็นวรรคเป็นเวร ไปยืนตากฝนต่อแถวไว้อาลัยจนไม่สบาย มันบิ๊วเส้าขนาดถึงที่เซเว่นไม่เคยปิดก้ยัง…
1283304273305051136,de,201,null,392,Twitter for Android,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,@StegnerRalle @DerWahreRobo Also unnütz
1266287203178536967,fr,511,null,211,Twitter for iPhone,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,@rzexr1 @notrxzr @Ambition_BaBa Xdrr
1258180200426168321,und,684,je t'aime,837,Twitter for iPhone,0,True,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @craveries: 😍 https://t.co/0f3wrGOUN9
1274210410707771397,es,836,Argentina,811,Twitter for iPhone,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,"@brokenhouiss nunca, son las enfermas estas que andan viendo lo que justin hace y lo que no"
1925315730,en,293,"North Carolina, USA",304,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @100GranKids: We didn’t deserve Mac Miller https://t.co/TFHybnKHtP
755605179496488960,en,153,null,23,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @AriFleischer: I guess name calling against the female VP candidate was ok in 2008.   https://t.co/iCcVYNmWzn
881906270394920960,es,250,null,832,Twitter for Android,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,"RT @Ury_bc: Estaba terminando un coloreado, y me dije: ¿por qué no hacerle una animación cutre a esta wea? XDDDDD

Cosas que hago cuando es…"
1181532067160416257,ja,71,null,18,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,"RT @hatahatahata_: どうせ当たらんだろうけどプレゼント企画！

ドラゴ大王プロモ当てたら
ミステリーキューブ GP 4枚
デスザーク シク 4枚
ガイムソウ プロモ 4枚
それぞれ1名様、合計3名様にプレゼント！

【参加方法】
フォロー
リツイート
固定ツイ…"
2411215631,en,993,"Lagos, Nigeria",310,Twitter for Android,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,"RT @TechBroCode: When praised by another tech bro, a tech bro will deny, deflect or return all allegations."
1037042695280242689,es,567,null,475,Twitter Web App,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,"RT @PonchoGutz: ""Vengo a aprender"" - Luis Videgaray
""Vengo a aprehender"" - Gertz Manero"
802478334,pl,1443,Poland ,544,Twitter for Android,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,"RT @tragikomunizm: slowo m****n bylo obrazliwe zanim stwierdziła tak rada języka polskiego, wiecie dlaczego? bo czarnoskórzy tak stwierdzil…"
2873550068,en,478,null,902,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,"RT @playboimyaa: friendships don’t require communicating everyday, if you need me you know i got you"
3115288753,ja,3471,「リツイートを表示しない」設定推奨,3417,Twitter for iPhone,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,ただいまの記録は「03:32.63」でした。 #四川省136 #sichuan136 https://t.co/l0UMdP1R1P
